id,text,date,source,clean,compound,sentiment,month
news_10,"Celebrity endorsements drive surge in Ozempic prescriptions for weight loss, raising ethical concerns among healthcare professionals about off-label use and medication shortages for diabetic patients.",2024-08-08,news,celebrity endorsement drive surge ozempic prescription weight loss raising ethical concern among healthcare professional offlabel use medication shortage diabetic patient,0.1027,positive,2024-08
news_11,"Telehealth platforms make it easier than ever to get Wegovy prescriptions, but critics warn about inadequate medical oversight and the risks of prescribing weight loss drugs without thorough evaluation.",2024-02-09,news,telehealth platform make easier ever get wegovy prescription critic warn inadequate medical oversight risk prescribing weight loss drug without thorough evaluation,-0.8922,negative,2024-02
news_12,"Wall Street analysts project Ozempic sales to reach $17 billion by 2025, making it one of the best-selling drugs in pharmaceutical history. Novo Nordisk stock hits all-time high.",2024-06-21,news,wall street analyst project ozempic sale reach billion making one bestselling drug pharmaceutical history novo nordisk stock hit alltime high,0.0258,neutral,2024-06
news_13,Global demand for Wegovy outstrips supply as countries beyond the US see rising obesity rates. WHO calls for equitable access to effective obesity treatments worldwide.,2024-02-29,news,global demand wegovy outstrips supply country beyond see rising obesity rate call equitable access effective obesity treatment worldwide,0.3818,positive,2024-02
news_14,"New research suggests Wegovy may have benefits beyond weight loss, including reduced risk of kidney disease, heart failure, and certain types of cancer. Scientists call findings 'promising but preliminary'.",2024-07-10,news,new research suggests wegovy may benefit beyond weight loss including reduced risk kidney disease heart failure certain type cancer scientist call finding promising preliminary,-0.431,negative,2024-07
news_15,Ozempic manufacturer faces lawsuits over alleged failure to warn about gastroparesis and other serious gastrointestinal side effects. Plaintiffs claim permanent digestive damage.,2024-11-05,news,ozempic manufacturer face lawsuit alleged failure warn gastroparesis serious gastrointestinal side effect plaintiff claim permanent digestive damage,-0.8316,negative,2024-11
news_16,"Counterfeit Wegovy found in multiple states, prompting FDA warning. Authorities seize thousands of fake injection pens containing potentially dangerous substances from unauthorized sellers.",2024-05-20,news,counterfeit wegovy found multiple state prompting fda warning authority seize thousand fake injection pen containing potentially dangerous substance unauthorized seller,-0.8225,negative,2024-05
news_17,Concerns raised about long-term safety of GLP-1 receptor agonists like Wegovy. A panel of endocrinologists calls for more comprehensive post-market surveillance studies.,2024-12-30,news,concern raised longterm safety glp receptor agonist like wegovy panel endocrinologist call comprehensive postmarket surveillance study,0.7645,positive,2024-12
news_18,New competitor drugs challenge Wegovy dominance in the GLP-1 market. Eli Lilly's tirzepatide shows comparable or superior weight loss results in head-to-head clinical trials.,2024-06-24,news,new competitor drug challenge wegovy dominance glp market eli lillys tirzepatide show comparable superior weight loss result headtohead clinical trial,0.5106,positive,2024-06
news_19,"Telehealth platforms make it easier than ever to get Wegovy prescriptions, but critics warn about inadequate medical oversight and the risks of prescribing weight loss drugs without thorough evaluation.",2024-12-10,news,telehealth platform make easier ever get wegovy prescription critic warn inadequate medical oversight risk prescribing weight loss drug without thorough evaluation,-0.8922,negative,2024-12
news_20,The FDA has expanded the approved use of Wegovy for chronic weight management in adults with obesity. Health officials say the drug represents a major advancement in obesity treatment options.,2024-02-12,news,fda expanded approved use wegovy chronic weight management adult obesity health official say drug represents major advancement obesity treatment option,0.4215,positive,2024-02
news_21,"New research suggests Wegovy may have benefits beyond weight loss, including reduced risk of kidney disease, heart failure, and certain types of cancer. Scientists call findings 'promising but preliminary'.",2024-03-20,news,new research suggests wegovy may benefit beyond weight loss including reduced risk kidney disease heart failure certain type cancer scientist call finding promising preliminary,-0.431,negative,2024-03
news_22,New competitor drugs challenge Ozempic dominance in the GLP-1 market. Eli Lilly's tirzepatide shows comparable or superior weight loss results in head-to-head clinical trials.,2024-05-25,news,new competitor drug challenge ozempic dominance glp market eli lillys tirzepatide show comparable superior weight loss result headtohead clinical trial,0.5106,positive,2024-05
news_23,Global demand for Ozempic outstrips supply as countries beyond the US see rising obesity rates. WHO calls for equitable access to effective obesity treatments worldwide.,2024-02-19,news,global demand ozempic outstrips supply country beyond see rising obesity rate call equitable access effective obesity treatment worldwide,0.3818,positive,2024-02
news_24,Concerns raised about long-term safety of GLP-1 receptor agonists like Ozempic. A panel of endocrinologists calls for more comprehensive post-market surveillance studies.,2024-10-08,news,concern raised longterm safety glp receptor agonist like ozempic panel endocrinologist call comprehensive postmarket surveillance study,0.7645,positive,2024-10
news_25,Ozempic manufacturer faces lawsuits over alleged failure to warn about gastroparesis and other serious gastrointestinal side effects. Plaintiffs claim permanent digestive damage.,2024-12-06,news,ozempic manufacturer face lawsuit alleged failure warn gastroparesis serious gastrointestinal side effect plaintiff claim permanent digestive damage,-0.8316,negative,2024-12
news_26,Insurance companies increasingly covering Wegovy for weight loss as evidence mounts for long-term health benefits including reduced cardiovascular risk and improved metabolic markers.,2024-03-21,news,insurance company increasingly covering wegovy weight loss evidence mount longterm health benefit including reduced cardiovascular risk improved metabolic marker,0.3182,positive,2024-03
news_27,"New research suggests Wegovy may have benefits beyond weight loss, including reduced risk of kidney disease, heart failure, and certain types of cancer. Scientists call findings 'promising but preliminary'.",2024-07-15,news,new research suggests wegovy may benefit beyond weight loss including reduced risk kidney disease heart failure certain type cancer scientist call finding promising preliminary,-0.431,negative,2024-07
news_28,Wegovy manufacturer faces lawsuits over alleged failure to warn about gastroparesis and other serious gastrointestinal side effects. Plaintiffs claim permanent digestive damage.,2024-11-02,news,wegovy manufacturer face lawsuit alleged failure warn gastroparesis serious gastrointestinal side effect plaintiff claim permanent digestive damage,-0.8316,negative,2024-11
news_29,The rise of GLP-1 drugs like Ozempic is reshaping the food industry. Major food companies report declining snack sales as millions of Americans reduce caloric intake on these medications.,2024-07-08,news,rise glp drug like ozempic reshaping food industry major food company report declining snack sale million american reduce caloric intake medication,0.3612,positive,2024-07
news_30,"Social media influencers fuel Wegovy trend, posting dramatic before-and-after photos. Mental health experts express concern about unrealistic expectations and body image pressures.",2024-03-30,news,social medium influencers fuel wegovy trend posting dramatic beforeandafter photo mental health expert express concern unrealistic expectation body image pressure,-0.3182,negative,2024-03
news_31,"Wall Street analysts project Wegovy sales to reach $29 billion by 2025, making it one of the best-selling drugs in pharmaceutical history. Novo Nordisk stock hits all-time high.",2024-05-05,news,wall street analyst project wegovy sale reach billion making one bestselling drug pharmaceutical history novo nordisk stock hit alltime high,0.0258,neutral,2024-05
news_32,Insurance companies increasingly covering Wegovy for weight loss as evidence mounts for long-term health benefits including reduced cardiovascular risk and improved metabolic markers.,2024-03-22,news,insurance company increasingly covering wegovy weight loss evidence mount longterm health benefit including reduced cardiovascular risk improved metabolic marker,0.3182,positive,2024-03
news_33,New study finds Ozempic leads to average 19.5% body weight reduction in clinical trial involving 3828 participants. Researchers at Stanford Medicine report significant improvements in cardiovascular outcomes alongside weight loss.,2024-02-06,news,new study find ozempic lead average body weight reduction clinical trial involving participant researcher stanford medicine report significant improvement cardiovascular outcome alongside weight loss,0.2023,positive,2024-02
news_34,"Social media influencers fuel Wegovy trend, posting dramatic before-and-after photos. Mental health experts express concern about unrealistic expectations and body image pressures.",2024-05-29,news,social medium influencers fuel wegovy trend posting dramatic beforeandafter photo mental health expert express concern unrealistic expectation body image pressure,-0.3182,negative,2024-05
news_35,Doctors debate whether patients should stay on Ozempic indefinitely. Weight regain after discontinuation raises questions about the long-term treatment paradigm for obesity management.,2024-02-23,news,doctor debate whether patient stay ozempic indefinitely weight regain discontinuation raise question longterm treatment paradigm obesity management,0.0,neutral,2024-02
news_36,"Celebrity endorsements drive surge in Ozempic prescriptions for weight loss, raising ethical concerns among healthcare professionals about off-label use and medication shortages for diabetic patients.",2024-04-17,news,celebrity endorsement drive surge ozempic prescription weight loss raising ethical concern among healthcare professional offlabel use medication shortage diabetic patient,0.1027,positive,2024-04
news_37,Novo Nordisk reports Wegovy shortage easing as production capacity increases. The pharmaceutical company has invested $6.5 billion in new manufacturing facilities to meet unprecedented demand.,2024-05-31,news,novo nordisk report wegovy shortage easing production capacity increase pharmaceutical company invested billion new manufacturing facility meet unprecedented demand,-0.128,negative,2024-05
news_38,"Telehealth platforms make it easier than ever to get Wegovy prescriptions, but critics warn about inadequate medical oversight and the risks of prescribing weight loss drugs without thorough evaluation.",2024-03-16,news,telehealth platform make easier ever get wegovy prescription critic warn inadequate medical oversight risk prescribing weight loss drug without thorough evaluation,-0.8922,negative,2024-03
news_39,Insurance companies increasingly covering Ozempic for weight loss as evidence mounts for long-term health benefits including reduced cardiovascular risk and improved metabolic markers.,2024-10-17,news,insurance company increasingly covering ozempic weight loss evidence mount longterm health benefit including reduced cardiovascular risk improved metabolic marker,0.3182,positive,2024-10
news_40,"Telehealth platforms make it easier than ever to get Wegovy prescriptions, but critics warn about inadequate medical oversight and the risks of prescribing weight loss drugs without thorough evaluation.",2024-07-15,news,telehealth platform make easier ever get wegovy prescription critic warn inadequate medical oversight risk prescribing weight loss drug without thorough evaluation,-0.8922,negative,2024-07
news_41,Ozempic covered by Medicare for first time under new policy. Advocates say this represents a critical step in recognizing obesity as a chronic disease requiring medical treatment.,2024-09-17,news,ozempic covered medicare first time new policy advocate say represents critical step recognizing obesity chronic disease requiring medical treatment,-0.3182,negative,2024-09
news_42,Pediatric obesity experts discuss potential role of Wegovy in treating adolescent obesity after promising trial results show significant weight reduction in teenagers aged 12-17.,2024-09-24,news,pediatric obesity expert discus potential role wegovy treating adolescent obesity promising trial result show significant weight reduction teenager aged,0.5423,positive,2024-09
news_43,"Celebrity endorsements drive surge in Wegovy prescriptions for weight loss, raising ethical concerns among healthcare professionals about off-label use and medication shortages for diabetic patients.",2024-01-08,news,celebrity endorsement drive surge wegovy prescription weight loss raising ethical concern among healthcare professional offlabel use medication shortage diabetic patient,0.1027,positive,2024-01
news_44,Insurance companies increasingly covering Wegovy for weight loss as evidence mounts for long-term health benefits including reduced cardiovascular risk and improved metabolic markers.,2024-11-28,news,insurance company increasingly covering wegovy weight loss evidence mount longterm health benefit including reduced cardiovascular risk improved metabolic marker,0.3182,positive,2024-11
news_45,"Telehealth platforms make it easier than ever to get Wegovy prescriptions, but critics warn about inadequate medical oversight and the risks of prescribing weight loss drugs without thorough evaluation.",2024-07-05,news,telehealth platform make easier ever get wegovy prescription critic warn inadequate medical oversight risk prescribing weight loss drug without thorough evaluation,-0.8922,negative,2024-07
news_46,Concerns raised about long-term safety of GLP-1 receptor agonists like Wegovy. A panel of endocrinologists calls for more comprehensive post-market surveillance studies.,2024-01-29,news,concern raised longterm safety glp receptor agonist like wegovy panel endocrinologist call comprehensive postmarket surveillance study,0.7645,positive,2024-01
news_47,Insurance companies increasingly covering Ozempic for weight loss as evidence mounts for long-term health benefits including reduced cardiovascular risk and improved metabolic markers.,2024-03-31,news,insurance company increasingly covering ozempic weight loss evidence mount longterm health benefit including reduced cardiovascular risk improved metabolic marker,0.3182,positive,2024-03
news_48,"Social media influencers fuel Wegovy trend, posting dramatic before-and-after photos. Mental health experts express concern about unrealistic expectations and body image pressures.",2024-09-24,news,social medium influencers fuel wegovy trend posting dramatic beforeandafter photo mental health expert express concern unrealistic expectation body image pressure,-0.3182,negative,2024-09
news_49,Insurance companies increasingly covering Ozempic for weight loss as evidence mounts for long-term health benefits including reduced cardiovascular risk and improved metabolic markers.,2024-06-12,news,insurance company increasingly covering ozempic weight loss evidence mount longterm health benefit including reduced cardiovascular risk improved metabolic marker,0.3182,positive,2024-06
news_50,Pediatric obesity experts discuss potential role of Ozempic in treating adolescent obesity after promising trial results show significant weight reduction in teenagers aged 12-17.,2024-11-02,news,pediatric obesity expert discus potential role ozempic treating adolescent obesity promising trial result show significant weight reduction teenager aged,0.5423,positive,2024-11
news_51,"Compounding pharmacies offer cheaper semaglutide alternatives to brand-name Ozempic, sparking debate about safety, efficacy, and FDA regulation of compounded medications.",2024-10-28,news,compounding pharmacy offer cheaper semaglutide alternative brandname ozempic sparking debate safety efficacy fda regulation compounded medication,0.4215,positive,2024-10
news_52,New study finds Wegovy leads to average 14.5% body weight reduction in clinical trial involving 3835 participants. Researchers at Stanford Medicine report significant improvements in cardiovascular outcomes alongside weight loss.,2024-06-17,news,new study find wegovy lead average body weight reduction clinical trial involving participant researcher stanford medicine report significant improvement cardiovascular outcome alongside weight loss,0.2023,positive,2024-06
news_53,"New research suggests Wegovy may have benefits beyond weight loss, including reduced risk of kidney disease, heart failure, and certain types of cancer. Scientists call findings 'promising but preliminary'.",2024-11-16,news,new research suggests wegovy may benefit beyond weight loss including reduced risk kidney disease heart failure certain type cancer scientist call finding promising preliminary,-0.431,negative,2024-11
news_54,Pediatric obesity experts discuss potential role of Ozempic in treating adolescent obesity after promising trial results show significant weight reduction in teenagers aged 12-17.,2024-02-03,news,pediatric obesity expert discus potential role ozempic treating adolescent obesity promising trial result show significant weight reduction teenager aged,0.5423,positive,2024-02
news_55,Concerns raised about long-term safety of GLP-1 receptor agonists like Wegovy. A panel of endocrinologists calls for more comprehensive post-market surveillance studies.,2024-04-09,news,concern raised longterm safety glp receptor agonist like wegovy panel endocrinologist call comprehensive postmarket surveillance study,0.7645,positive,2024-04
news_56,Ozempic covered by Medicare for first time under new policy. Advocates say this represents a critical step in recognizing obesity as a chronic disease requiring medical treatment.,2024-02-22,news,ozempic covered medicare first time new policy advocate say represents critical step recognizing obesity chronic disease requiring medical treatment,-0.3182,negative,2024-02
news_57,"Compounding pharmacies offer cheaper semaglutide alternatives to brand-name Ozempic, sparking debate about safety, efficacy, and FDA regulation of compounded medications.",2024-03-28,news,compounding pharmacy offer cheaper semaglutide alternative brandname ozempic sparking debate safety efficacy fda regulation compounded medication,0.4215,positive,2024-03
news_58,The rise of GLP-1 drugs like Ozempic is reshaping the food industry. Major food companies report declining snack sales as millions of Americans reduce caloric intake on these medications.,2024-04-27,news,rise glp drug like ozempic reshaping food industry major food company report declining snack sale million american reduce caloric intake medication,0.3612,positive,2024-04
news_59,"New research suggests Wegovy may have benefits beyond weight loss, including reduced risk of kidney disease, heart failure, and certain types of cancer. Scientists call findings 'promising but preliminary'.",2024-08-18,news,new research suggests wegovy may benefit beyond weight loss including reduced risk kidney disease heart failure certain type cancer scientist call finding promising preliminary,-0.431,negative,2024-08
news_60,Wegovy manufacturer faces lawsuits over alleged failure to warn about gastroparesis and other serious gastrointestinal side effects. Plaintiffs claim permanent digestive damage.,2024-11-26,news,wegovy manufacturer face lawsuit alleged failure warn gastroparesis serious gastrointestinal side effect plaintiff claim permanent digestive damage,-0.8316,negative,2024-11
news_61,"Counterfeit Wegovy found in multiple states, prompting FDA warning. Authorities seize thousands of fake injection pens containing potentially dangerous substances from unauthorized sellers.",2024-05-30,news,counterfeit wegovy found multiple state prompting fda warning authority seize thousand fake injection pen containing potentially dangerous substance unauthorized seller,-0.8225,negative,2024-05
news_62,The rise of GLP-1 drugs like Ozempic is reshaping the food industry. Major food companies report declining snack sales as millions of Americans reduce caloric intake on these medications.,2024-04-20,news,rise glp drug like ozempic reshaping food industry major food company report declining snack sale million american reduce caloric intake medication,0.3612,positive,2024-04
news_63,"Counterfeit Wegovy found in multiple states, prompting FDA warning. Authorities seize thousands of fake injection pens containing potentially dangerous substances from unauthorized sellers.",2024-10-30,news,counterfeit wegovy found multiple state prompting fda warning authority seize thousand fake injection pen containing potentially dangerous substance unauthorized seller,-0.8225,negative,2024-10
news_64,Pediatric obesity experts discuss potential role of Wegovy in treating adolescent obesity after promising trial results show significant weight reduction in teenagers aged 12-17.,2024-05-21,news,pediatric obesity expert discus potential role wegovy treating adolescent obesity promising trial result show significant weight reduction teenager aged,0.5423,positive,2024-05
news_65,"New research suggests Wegovy may have benefits beyond weight loss, including reduced risk of kidney disease, heart failure, and certain types of cancer. Scientists call findings 'promising but preliminary'.",2024-03-18,news,new research suggests wegovy may benefit beyond weight loss including reduced risk kidney disease heart failure certain type cancer scientist call finding promising preliminary,-0.431,negative,2024-03
news_66,"Compounding pharmacies offer cheaper semaglutide alternatives to brand-name Wegovy, sparking debate about safety, efficacy, and FDA regulation of compounded medications.",2024-10-12,news,compounding pharmacy offer cheaper semaglutide alternative brandname wegovy sparking debate safety efficacy fda regulation compounded medication,0.4215,positive,2024-10
news_67,"Wall Street analysts project Ozempic sales to reach $26 billion by 2025, making it one of the best-selling drugs in pharmaceutical history. Novo Nordisk stock hits all-time high.",2024-08-16,news,wall street analyst project ozempic sale reach billion making one bestselling drug pharmaceutical history novo nordisk stock hit alltime high,0.0258,neutral,2024-08
news_68,The rise of GLP-1 drugs like Ozempic is reshaping the food industry. Major food companies report declining snack sales as millions of Americans reduce caloric intake on these medications.,2024-05-10,news,rise glp drug like ozempic reshaping food industry major food company report declining snack sale million american reduce caloric intake medication,0.3612,positive,2024-05
news_69,Concerns raised about long-term safety of GLP-1 receptor agonists like Ozempic. A panel of endocrinologists calls for more comprehensive post-market surveillance studies.,2024-09-27,news,concern raised longterm safety glp receptor agonist like ozempic panel endocrinologist call comprehensive postmarket surveillance study,0.7645,positive,2024-09
news_70,New study finds Wegovy leads to average 17.7% body weight reduction in clinical trial involving 762 participants. Researchers at Stanford Medicine report significant improvements in cardiovascular outcomes alongside weight loss.,2024-10-02,news,new study find wegovy lead average body weight reduction clinical trial involving participant researcher stanford medicine report significant improvement cardiovascular outcome alongside weight loss,0.2023,positive,2024-10
news_71,Novo Nordisk reports Wegovy shortage easing as production capacity increases. The pharmaceutical company has invested $6.7 billion in new manufacturing facilities to meet unprecedented demand.,2024-09-19,news,novo nordisk report wegovy shortage easing production capacity increase pharmaceutical company invested billion new manufacturing facility meet unprecedented demand,-0.128,negative,2024-09
news_72,New competitor drugs challenge Wegovy dominance in the GLP-1 market. Eli Lilly's tirzepatide shows comparable or superior weight loss results in head-to-head clinical trials.,2024-05-21,news,new competitor drug challenge wegovy dominance glp market eli lillys tirzepatide show comparable superior weight loss result headtohead clinical trial,0.5106,positive,2024-05
news_73,The rise of GLP-1 drugs like Ozempic is reshaping the food industry. Major food companies report declining snack sales as millions of Americans reduce caloric intake on these medications.,2024-01-11,news,rise glp drug like ozempic reshaping food industry major food company report declining snack sale million american reduce caloric intake medication,0.3612,positive,2024-01
news_74,New study finds Wegovy leads to average 18.2% body weight reduction in clinical trial involving 3694 participants. Researchers at Harvard Medical School report significant improvements in cardiovascular outcomes alongside weight loss.,2024-08-06,news,new study find wegovy lead average body weight reduction clinical trial involving participant researcher harvard medical school report significant improvement cardiovascular outcome alongside weight loss,0.2023,positive,2024-08
news_75,"Compounding pharmacies offer cheaper semaglutide alternatives to brand-name Ozempic, sparking debate about safety, efficacy, and FDA regulation of compounded medications.",2024-10-21,news,compounding pharmacy offer cheaper semaglutide alternative brandname ozempic sparking debate safety efficacy fda regulation compounded medication,0.4215,positive,2024-10
news_76,Ozempic covered by Medicare for first time under new policy. Advocates say this represents a critical step in recognizing obesity as a chronic disease requiring medical treatment.,2024-09-30,news,ozempic covered medicare first time new policy advocate say represents critical step recognizing obesity chronic disease requiring medical treatment,-0.3182,negative,2024-09
news_77,"Social media influencers fuel Ozempic trend, posting dramatic before-and-after photos. Mental health experts express concern about unrealistic expectations and body image pressures.",2024-12-02,news,social medium influencers fuel ozempic trend posting dramatic beforeandafter photo mental health expert express concern unrealistic expectation body image pressure,-0.3182,negative,2024-12
news_78,"Celebrity endorsements drive surge in Wegovy prescriptions for weight loss, raising ethical concerns among healthcare professionals about off-label use and medication shortages for diabetic patients.",2024-06-30,news,celebrity endorsement drive surge wegovy prescription weight loss raising ethical concern among healthcare professional offlabel use medication shortage diabetic patient,0.1027,positive,2024-06
news_79,Concerns raised about long-term safety of GLP-1 receptor agonists like Wegovy. A panel of endocrinologists calls for more comprehensive post-market surveillance studies.,2024-07-13,news,concern raised longterm safety glp receptor agonist like wegovy panel endocrinologist call comprehensive postmarket surveillance study,0.7645,positive,2024-07
news_80,Global demand for Wegovy outstrips supply as countries beyond the US see rising obesity rates. WHO calls for equitable access to effective obesity treatments worldwide.,2024-03-30,news,global demand wegovy outstrips supply country beyond see rising obesity rate call equitable access effective obesity treatment worldwide,0.3818,positive,2024-03
news_81,"Celebrity endorsements drive surge in Ozempic prescriptions for weight loss, raising ethical concerns among healthcare professionals about off-label use and medication shortages for diabetic patients.",2024-06-11,news,celebrity endorsement drive surge ozempic prescription weight loss raising ethical concern among healthcare professional offlabel use medication shortage diabetic patient,0.1027,positive,2024-06
news_82,Novo Nordisk reports Ozempic shortage easing as production capacity increases. The pharmaceutical company has invested $3.5 billion in new manufacturing facilities to meet unprecedented demand.,2024-08-21,news,novo nordisk report ozempic shortage easing production capacity increase pharmaceutical company invested billion new manufacturing facility meet unprecedented demand,-0.128,negative,2024-08
news_83,Wegovy manufacturer faces lawsuits over alleged failure to warn about gastroparesis and other serious gastrointestinal side effects. Plaintiffs claim permanent digestive damage.,2024-02-03,news,wegovy manufacturer face lawsuit alleged failure warn gastroparesis serious gastrointestinal side effect plaintiff claim permanent digestive damage,-0.8316,negative,2024-02
news_84,Novo Nordisk reports Ozempic shortage easing as production capacity increases. The pharmaceutical company has invested $2.1 billion in new manufacturing facilities to meet unprecedented demand.,2024-11-27,news,novo nordisk report ozempic shortage easing production capacity increase pharmaceutical company invested billion new manufacturing facility meet unprecedented demand,-0.128,negative,2024-11
news_85,"Wall Street analysts project Ozempic sales to reach $19 billion by 2025, making it one of the best-selling drugs in pharmaceutical history. Novo Nordisk stock hits all-time high.",2024-03-12,news,wall street analyst project ozempic sale reach billion making one bestselling drug pharmaceutical history novo nordisk stock hit alltime high,0.0258,neutral,2024-03
news_86,The FDA has expanded the approved use of Ozempic for chronic weight management in adults with obesity. Health officials say the drug represents a major advancement in obesity treatment options.,2024-03-21,news,fda expanded approved use ozempic chronic weight management adult obesity health official say drug represents major advancement obesity treatment option,0.4215,positive,2024-03
news_87,"Economic analysis shows Ozempic could save healthcare system billions by reducing obesity-related conditions including type 2 diabetes, hypertension, and joint replacement surgeries.",2024-03-24,news,economic analysis show ozempic could save healthcare system billion reducing obesityrelated condition including type diabetes hypertension joint replacement surgery,0.4939,positive,2024-03
news_88,"New research suggests Ozempic may have benefits beyond weight loss, including reduced risk of kidney disease, heart failure, and certain types of cancer. Scientists call findings 'promising but preliminary'.",2024-01-14,news,new research suggests ozempic may benefit beyond weight loss including reduced risk kidney disease heart failure certain type cancer scientist call finding promising preliminary,-0.431,negative,2024-01
news_89,The FDA has expanded the approved use of Wegovy for chronic weight management in adults with obesity. Health officials say the drug represents a major advancement in obesity treatment options.,2024-11-02,news,fda expanded approved use wegovy chronic weight management adult obesity health official say drug represents major advancement obesity treatment option,0.4215,positive,2024-11
news_90,"Celebrity endorsements drive surge in Ozempic prescriptions for weight loss, raising ethical concerns among healthcare professionals about off-label use and medication shortages for diabetic patients.",2024-02-27,news,celebrity endorsement drive surge ozempic prescription weight loss raising ethical concern among healthcare professional offlabel use medication shortage diabetic patient,0.1027,positive,2024-02
news_91,"Social media influencers fuel Wegovy trend, posting dramatic before-and-after photos. Mental health experts express concern about unrealistic expectations and body image pressures.",2024-03-06,news,social medium influencers fuel wegovy trend posting dramatic beforeandafter photo mental health expert express concern unrealistic expectation body image pressure,-0.3182,negative,2024-03
news_92,New competitor drugs challenge Wegovy dominance in the GLP-1 market. Eli Lilly's tirzepatide shows comparable or superior weight loss results in head-to-head clinical trials.,2024-03-05,news,new competitor drug challenge wegovy dominance glp market eli lillys tirzepatide show comparable superior weight loss result headtohead clinical trial,0.5106,positive,2024-03
news_93,"Wall Street analysts project Ozempic sales to reach $24 billion by 2025, making it one of the best-selling drugs in pharmaceutical history. Novo Nordisk stock hits all-time high.",2024-11-10,news,wall street analyst project ozempic sale reach billion making one bestselling drug pharmaceutical history novo nordisk stock hit alltime high,0.0258,neutral,2024-11
news_94,"Counterfeit Ozempic found in multiple states, prompting FDA warning. Authorities seize thousands of fake injection pens containing potentially dangerous substances from unauthorized sellers.",2024-12-08,news,counterfeit ozempic found multiple state prompting fda warning authority seize thousand fake injection pen containing potentially dangerous substance unauthorized seller,-0.8225,negative,2024-12
news_95,"Wall Street analysts project Wegovy sales to reach $16 billion by 2025, making it one of the best-selling drugs in pharmaceutical history. Novo Nordisk stock hits all-time high.",2024-07-16,news,wall street analyst project wegovy sale reach billion making one bestselling drug pharmaceutical history novo nordisk stock hit alltime high,0.0258,neutral,2024-07
news_96,"Celebrity endorsements drive surge in Ozempic prescriptions for weight loss, raising ethical concerns among healthcare professionals about off-label use and medication shortages for diabetic patients.",2024-01-06,news,celebrity endorsement drive surge ozempic prescription weight loss raising ethical concern among healthcare professional offlabel use medication shortage diabetic patient,0.1027,positive,2024-01
news_97,Doctors debate whether patients should stay on Wegovy indefinitely. Weight regain after discontinuation raises questions about the long-term treatment paradigm for obesity management.,2024-11-14,news,doctor debate whether patient stay wegovy indefinitely weight regain discontinuation raise question longterm treatment paradigm obesity management,0.0,neutral,2024-11
