id,text,date,source,clean,token_count
news_34,Ozempic: 5 Reasons People Don’t Lose Weight on GLP-1 Drugs - Healthline. Ozempic: 5 Reasons People Don’t Lose Weight on GLP-1 Drugs Healthline,2024-04-20,news,ozempic reason people dont lose weight glp drug healthline ozempic reason people dont lose weight glp drug healthline,18
news_35,"What's better for weight loss, Mounjaro or Ozempic? New study provides answer - ABC News. What's better for weight loss, Mounjaro or Ozempic? New study provides answer ABC News",2024-07-09,news,whats better weight loss mounjaro ozempic new study provides answer abc news whats better weight loss mounjaro ozempic new study provides answer abc news,24
news_36,Interested in the new weight loss drugs? Here are 5 things to know - CNN. Interested in the new weight loss drugs? Here are 5 things to know CNN,2024-02-03,news,interested new weight loss drug thing know cnn interested new weight loss drug thing know cnn,16
news_37,Health benefits of semaglutide — Beyond weight loss - Mayo Clinic Press. Health benefits of semaglutide — Beyond weight loss Mayo Clinic Press,2024-07-02,news,health benefit semaglutide beyond weight loss mayo clinic press health benefit semaglutide beyond weight loss mayo clinic press,18
news_38,They Thought Ozempic Would Help Them Lose Weight. It Didn’t Work. - The Wall Street Journal. They Thought Ozempic Would Help Them Lose Weight. It Didn’t Work. The Wall Street Journal,2024-04-01,news,thought ozempic help lose weight didnt work wall street journal thought ozempic help lose weight didnt work wall street journal,20
news_39,Rybelsus vs. Ozempic For Weight Loss: What’s The Difference? - Forbes. Rybelsus vs. Ozempic For Weight Loss: What’s The Difference? Forbes,2024-01-08,news,rybelsus ozempic weight loss whats difference forbes rybelsus ozempic weight loss whats difference forbes,14
news_40,Zepbound outperforms Ozempic and Wegovy in head-to-head weight loss study - NBC News. Zepbound outperforms Ozempic and Wegovy in head-to-head weight loss study NBC News,2024-07-08,news,zepbound outperforms ozempic wegovy headtohead weight loss study nbc news zepbound outperforms ozempic wegovy headtohead weight loss study nbc news,20
news_41,How Does Ozempic Work? (Published 2024) - The New York Times. How Does Ozempic Work? (Published 2024) The New York Times,2024-05-29,news,ozempic work published new york time ozempic work published new york time,12
news_42,"Mounjaro Better for Weight Loss Than Ozempic, Study Finds - Healthline. Mounjaro Better for Weight Loss Than Ozempic, Study Finds Healthline",2024-07-08,news,mounjaro better weight loss ozempic study find healthline mounjaro better weight loss ozempic study find healthline,16
news_43,Ozempic: 4 Key Factors Affect How Much Weight You Lose on GLP-1 Drugs - Healthline. Ozempic: 4 Key Factors Affect How Much Weight You Lose on GLP-1 Drugs Healthline,2024-09-17,news,ozempic key factor affect much weight lose glp drug healthline ozempic key factor affect much weight lose glp drug healthline,20
news_44,"Teenagers Are Taking New Weight-Loss Drugs, but the Science Is Far from Settled - Scientific American. Teenagers Are Taking New Weight-Loss Drugs, but the Science Is Far from Settled Scientific American",2024-10-25,news,teenager taking new weightloss drug science far settled scientific american teenager taking new weightloss drug science far settled scientific american,20
news_45,Ozempic and Mounjaro Aren’t the Same. Here’s How Weight-Loss Drugs Compare - Scientific American. Ozempic and Mounjaro Aren’t the Same. Here’s How Weight-Loss Drugs Compare Scientific American,2024-02-28,news,ozempic mounjaro arent here weightloss drug compare scientific american ozempic mounjaro arent here weightloss drug compare scientific american,18
news_46,New obesity drugs are seemingly everywhere. Black Americans feel left out - statnews.com. New obesity drugs are seemingly everywhere. Black Americans feel left out statnews.com,2024-05-29,news,new obesity drug seemingly everywhere black american feel left statnewscom new obesity drug seemingly everywhere black american feel left statnewscom,20
news_47,Top doctor alarmed by weight-loss drug misuse - BBC. Top doctor alarmed by weight-loss drug misuse BBC,2024-06-14,news,top doctor alarmed weightloss drug misuse bbc top doctor alarmed weightloss drug misuse bbc,14
news_48,"Ozempic, Mounjaro users talk about changes to family life after weight loss - ABC News. Ozempic, Mounjaro users talk about changes to family life after weight loss ABC News",2024-03-01,news,ozempic mounjaro user talk change family life weight loss abc news ozempic mounjaro user talk change family life weight loss abc news,22
news_49,Ozempic weight loss plateau: What is it and how to get past it - Medical News Today. Ozempic weight loss plateau: What is it and how to get past it Medical News Today,2024-01-02,news,ozempic weight loss plateau past medical news today ozempic weight loss plateau past medical news today,16
news_50,18 celebrities who've opened up about taking Ozempic or weight-loss drugs - Yahoo. 18 celebrities who've opened up about taking Ozempic or weight-loss drugs Yahoo,2024-05-21,news,celebrity whove opened taking ozempic weightloss drug yahoo celebrity whove opened taking ozempic weightloss drug yahoo,16
news_51,More teens are turning to weight loss drugs - NBC News. More teens are turning to weight loss drugs NBC News,2024-02-21,news,teen turning weight loss drug nbc news teen turning weight loss drug nbc news,14
news_52,"The new obesity drugs work, but it's a dilemma when people have to stop taking them - NPR. The new obesity drugs work, but it's a dilemma when people have to stop taking them NPR",2024-05-27,news,new obesity drug work dilemma people stop taking npr new obesity drug work dilemma people stop taking npr,18
news_53,Research shows GLP-1 receptor agonist drugs are effective but come with complex concerns - UChicago Medicine. Research shows GLP-1 receptor agonist drugs are effective but come with complex concerns UChicago Medicine,2024-05-30,news,research show glp receptor agonist drug effective come complex concern uchicago medicine research show glp receptor agonist drug effective come complex concern uchicago medicine,24
news_54,Ricki Lake Says Her Doctor Was 'Pushing' Her to Take Ozempic - Healthline. Ricki Lake Says Her Doctor Was 'Pushing' Her to Take Ozempic Healthline,2024-05-13,news,ricki lake say doctor pushing take ozempic healthline ricki lake say doctor pushing take ozempic healthline,16
news_55,Mounjaro is more effective for weight loss than Ozempic. So how does it work? And why does it cost so much? - The Conversation. Mounjaro is more effective for weight loss than Ozempic. So how does it work? And why does it cost so much? The Conversation,2024-10-15,news,mounjaro effective weight loss ozempic work cost much conversation mounjaro effective weight loss ozempic work cost much conversation,18
news_56,Gross Medicare Spending on Ozempic and Other GLP-1s Is Already Skyrocketing – Even Though Medicare Cannot Cover The Drugs for Weight Loss - KFF. Gross Medicare Spending on Ozempic and Other GLP-1s Is Already Skyrocketing – Even Though Medicare Cannot Cover The Drugs for Weight Loss KFF,2024-03-23,news,gross medicare spending ozempic glps already skyrocketing though medicare cover drug weight loss kff gross medicare spending ozempic glps already skyrocketing though medicare cover drug weight loss kff,28
news_57,Biden proposes weight-loss drugs be covered by Medicare or Medicaid for millions of obese Americans - PBS. Biden proposes weight-loss drugs be covered by Medicare or Medicaid for millions of obese Americans PBS,2024-11-26,news,biden proposes weightloss drug covered medicare medicaid million obese american pb biden proposes weightloss drug covered medicare medicaid million obese american pb,22
news_58,Rebel Wilson shared she briefly used Ozempic in weight loss journey - ABC News. Rebel Wilson shared she briefly used Ozempic in weight loss journey ABC News,2024-03-31,news,rebel wilson shared briefly used ozempic weight loss journey abc news rebel wilson shared briefly used ozempic weight loss journey abc news,22
news_59,"Losing weight on Ozempic is risky, Baylor experts warn - The Baylor Lariat. Losing weight on Ozempic is risky, Baylor experts warn The Baylor Lariat",2024-11-13,news,losing weight ozempic risky baylor expert warn baylor lariat losing weight ozempic risky baylor expert warn baylor lariat,18
news_60,KFF Health Tracking Poll May 2024: The Public’s Use and Views of GLP-1 Drugs - KFF. KFF Health Tracking Poll May 2024: The Public’s Use and Views of GLP-1 Drugs KFF,2024-05-10,news,kff health tracking poll may public use view glp drug kff kff health tracking poll may public use view glp drug kff,22
news_61,Fatty Liver Disease: The Process Behind the Benefit of Weight Loss Drugs - Yale School of Medicine. Fatty Liver Disease: The Process Behind the Benefit of Weight Loss Drugs Yale School of Medicine,2024-09-17,news,fatty liver disease process behind benefit weight loss drug yale school medicine fatty liver disease process behind benefit weight loss drug yale school medicine,24
news_62,Ozempic and Wegovy: 5 Health Benefits Besides Weight Loss - Healthline. Ozempic and Wegovy: 5 Health Benefits Besides Weight Loss Healthline,2024-03-19,news,ozempic wegovy health benefit besides weight loss healthline ozempic wegovy health benefit besides weight loss healthline,16
news_63,"Expanding Access to Weight-Loss Drugs Could Save Thousands of Lives A Year, Study Finds - Yale School of Medicine. Expanding Access to Weight-Loss Drugs Could Save Thousands of Lives A Year, Study Finds Yale School of Medicine",2024-10-16,news,expanding access weightloss drug could save thousand life year study find yale school medicine expanding access weightloss drug could save thousand life year study find yale school medicine,28
news_64,"FDA reviewing Ozempic, other diabetes and weight-loss drugs for side effects like suicidal thoughts, hair loss - ABC7 Los Angeles. FDA reviewing Ozempic, other diabetes and weight-loss drugs for side effects like suicidal thoughts, hair loss ABC7 Los Angeles",2024-01-04,news,fda reviewing ozempic diabetes weightloss drug side effect suicidal thought hair loss abc los angeles fda reviewing ozempic diabetes weightloss drug side effect suicidal thought hair loss abc los angeles,30
news_65,How ‘miracle’ weight-loss drugs will change the world - Nature. How ‘miracle’ weight-loss drugs will change the world Nature,2024-11-05,news,miracle weightloss drug change world nature miracle weightloss drug change world nature,12
news_66,Experimental weight loss pill seems to be more potent than Ozempic - New Scientist. Experimental weight loss pill seems to be more potent than Ozempic New Scientist,2024-03-07,news,experimental weight loss pill seems potent ozempic new scientist experimental weight loss pill seems potent ozempic new scientist,18
news_67,Considering taking Wegovy to lose weight? Here are the risks and benefits – and how it differs from Ozempic - The Conversation. Considering taking Wegovy to lose weight? Here are the risks and benefits – and how it differs from Ozempic The Conversation,2024-08-27,news,considering taking wegovy lose weight risk benefit differs ozempic conversation considering taking wegovy lose weight risk benefit differs ozempic conversation,20
news_68,Ozempic's popularity leads to shortages for people with Type 2 diabetes - NPR. Ozempic's popularity leads to shortages for people with Type 2 diabetes NPR,2024-07-10,news,ozempics popularity lead shortage people type diabetes npr ozempics popularity lead shortage people type diabetes npr,16
news_69,Why Diabetes Miracle Drugs like Ozempic Are Off-Limits to Type 1s - diaTribe. Why Diabetes Miracle Drugs like Ozempic Are Off-Limits to Type 1s diaTribe,2024-06-18,news,diabetes miracle drug ozempic offlimits type diatribe diabetes miracle drug ozempic offlimits type diatribe,14
news_70,Not Everyone Loses Weight on Ozempic - WIRED. Not Everyone Loses Weight on Ozempic WIRED,2024-07-01,news,everyone loses weight ozempic wired everyone loses weight ozempic wired,10
news_71,Chocolatier loses 105 pounds with Ozempic after struggling with weight all her life - TODAY.com. Chocolatier loses 105 pounds with Ozempic after struggling with weight all her life TODAY.com,2024-02-07,news,chocolatier loses pound ozempic struggling weight life todaycom chocolatier loses pound ozempic struggling weight life todaycom,16
news_72,Ozempic is coming for gyms. Here’s how they’re responding - CNN. Ozempic is coming for gyms. Here’s how they’re responding CNN,2024-03-01,news,ozempic coming gym here theyre responding cnn ozempic coming gym here theyre responding cnn,14
news_73,Ozempic vs. Mounjaro: Head-to-Head Study Shows Weight Loss Winner - Health: Trusted and Empathetic Health and Wellness Information. Ozempic vs. Mounjaro: Head-to-Head Study Shows Weight Loss Winner Health: Trusted and Empathetic Health and Wellness Information,2024-07-12,news,ozempic mounjaro headtohead study show weight loss winner health trusted empathetic health wellness information ozempic mounjaro headtohead study show weight loss winner health trusted empathetic health wellness information,28
news_74,Mayo Clinic Minute: Weaning off popular weight-loss medications - Mayo Clinic News Network. Mayo Clinic Minute: Weaning off popular weight-loss medications Mayo Clinic News Network,2024-08-08,news,mayo clinic minute weaning popular weightloss medication mayo clinic news network mayo clinic minute weaning popular weightloss medication mayo clinic news network,22
news_75,Rapid weight loss can lead to loss of muscle mass - UCLA Health. Rapid weight loss can lead to loss of muscle mass UCLA Health,2024-05-01,news,rapid weight loss lead loss muscle mass ucla health rapid weight loss lead loss muscle mass ucla health,18
news_76,"Weight loss drug Wegovy arrives in Israel, ending off-label use of Ozempic - The Times of Israel. Weight loss drug Wegovy arrives in Israel, ending off-label use of Ozempic The Times of Israel",2024-05-03,news,weight loss drug wegovy arrives israel ending offlabel use ozempic time israel weight loss drug wegovy arrives israel ending offlabel use ozempic time israel,24
news_77,Ozempic and thyroid cancer - Roswell Park Comprehensive Cancer Center. Ozempic and thyroid cancer Roswell Park Comprehensive Cancer Center,2024-09-05,news,ozempic thyroid cancer roswell park comprehensive cancer center ozempic thyroid cancer roswell park comprehensive cancer center,16
news_78,How Long Does It Take Ozempic to Work? - HealthCentral. How Long Does It Take Ozempic to Work? HealthCentral,2024-06-21,news,long take ozempic work healthcentral long take ozempic work healthcentral,10
news_79,The many ways new weight loss drugs could transform the economy - PBS. The many ways new weight loss drugs could transform the economy PBS,2024-06-17,news,many way new weight loss drug could transform economy pb many way new weight loss drug could transform economy pb,20
news_80,"As obesity rates rise in the U.S. and worldwide, new weight-loss drugs surge in popularity - Pew Research Center. As obesity rates rise in the U.S. and worldwide, new weight-loss drugs surge in popularity Pew Research Center",2024-03-21,news,obesity rate rise worldwide new weightloss drug surge popularity pew research center obesity rate rise worldwide new weightloss drug surge popularity pew research center,24
news_81,GLP-1 medications and weight loss: Helping patients navigate beyond the trends - Wolters Kluwer. GLP-1 medications and weight loss: Helping patients navigate beyond the trends Wolters Kluwer,2024-07-19,news,glp medication weight loss helping patient navigate beyond trend wolters kluwer glp medication weight loss helping patient navigate beyond trend wolters kluwer,22
news_82,New study focuses on what happens if you stay on weight loss drug Wegovy for years - ABC News. New study focuses on what happens if you stay on weight loss drug Wegovy for years ABC News,2024-05-20,news,new study focus happens stay weight loss drug wegovy year abc news new study focus happens stay weight loss drug wegovy year abc news,24
news_83,"Buyer Beware: Off-brand Ozempic, Zepbound and Other Weight Loss Products Carry Undisclosed Risks - UConn Today. Buyer Beware: Off-brand Ozempic, Zepbound and Other Weight Loss Products Carry Undisclosed Risks UConn Today",2024-10-25,news,buyer beware offbrand ozempic zepbound weight loss product carry undisclosed risk uconn today buyer beware offbrand ozempic zepbound weight loss product carry undisclosed risk uconn today,26
news_84,What Happened When I Started Taking Ozempic and What to Expect - GoodRx. What Happened When I Started Taking Ozempic and What to Expect GoodRx,2024-01-09,news,happened started taking ozempic expect goodrx happened started taking ozempic expect goodrx,12
news_85,James Corden Admits He Tried Ozempic for Weight Loss and Shares His Results - E! News. James Corden Admits He Tried Ozempic for Weight Loss and Shares His Results E! News,2024-09-26,news,james corden admits tried ozempic weight loss share result news james corden admits tried ozempic weight loss share result news,20
news_86,The Unexplored Effects of Weight-Loss Drugs on the Brain - the-scientist.com. The Unexplored Effects of Weight-Loss Drugs on the Brain the-scientist.com,2024-10-08,news,unexplored effect weightloss drug brain thescientistcom unexplored effect weightloss drug brain thescientistcom,12
news_87,James Corden Says He Tried Ozempic for Weight Loss but 'It Didn’t Really Work' - People.com. James Corden Says He Tried Ozempic for Weight Loss but 'It Didn’t Really Work' People.com,2024-09-26,news,james corden say tried ozempic weight loss didnt really work peoplecom james corden say tried ozempic weight loss didnt really work peoplecom,22
news_88,"Long Island Woman Arrested For Selling Misbranded And Adulterated Weight Loss Drugs, Including Ozempic, On TikTok - Department of Justice (.gov). Long Island Woman Arrested For Selling Misbranded And Adulterated Weight Loss Drugs, Including Ozempic, On TikTok Department of Justice (.gov)",2024-05-02,news,long island woman arrested selling misbranded adulterated weight loss drug including ozempic tiktok department justice gov long island woman arrested selling misbranded adulterated weight loss drug including ozempic tiktok department justice gov,32
news_89,Lawsuit could challenge trust in Ozempic and other popular weight loss drugs - The Conversation. Lawsuit could challenge trust in Ozempic and other popular weight loss drugs The Conversation,2024-06-20,news,lawsuit could challenge trust ozempic popular weight loss drug conversation lawsuit could challenge trust ozempic popular weight loss drug conversation,20
news_90,"Ozempic v. Mounjaro? There's a clear winner for weight loss, study finds. - USA Today. Ozempic v. Mounjaro? There's a clear winner for weight loss, study finds. USA Today",2024-07-08,news,ozempic mounjaro there clear winner weight loss study find usa today ozempic mounjaro there clear winner weight loss study find usa today,22
news_91,Are weight loss medications as good as they say? - SSM Health. Are weight loss medications as good as they say? SSM Health,2024-04-10,news,weight loss medication good say ssm health weight loss medication good say ssm health,14
news_92,It’s survival of the fittest for brands trying to get in on the Ozempic weight-loss industry - Los Angeles Times. It’s survival of the fittest for brands trying to get in on the Ozempic weight-loss industry Los Angeles Times,2024-07-18,news,survival fittest brand trying ozempic weightloss industry los angeles time survival fittest brand trying ozempic weightloss industry los angeles time,20
news_93,A Novo Nordisk weight loss drug lowers BMI in kids as young as 6 - NBC News. A Novo Nordisk weight loss drug lowers BMI in kids as young as 6 NBC News,2024-09-10,news,novo nordisk weight loss drug lower bmi kid young nbc news novo nordisk weight loss drug lower bmi kid young nbc news,22
news_94,"1 in 8 adults in the US has taken Ozempic or another GLP-1 drug, KFF survey finds - CNN. 1 in 8 adults in the US has taken Ozempic or another GLP-1 drug, KFF survey finds CNN",2024-05-10,news,adult taken ozempic another glp drug kff survey find cnn adult taken ozempic another glp drug kff survey find cnn,20
news_95,Weight-loss drug linked to rare eye condition - BBC. Weight-loss drug linked to rare eye condition BBC,2024-07-03,news,weightloss drug linked rare eye condition bbc weightloss drug linked rare eye condition bbc,14
news_96,"New weight loss drugs are coming, and they could burn more fat with fewer side effects - NBC News. New weight loss drugs are coming, and they could burn more fat with fewer side effects NBC News",2024-06-23,news,new weight loss drug coming could burn fat fewer side effect nbc news new weight loss drug coming could burn fat fewer side effect nbc news,26
news_97,‘Miracle’ weight-loss drugs could have reduced health disparities. Instead they got worse - Los Angeles Times. ‘Miracle’ weight-loss drugs could have reduced health disparities. Instead they got worse Los Angeles Times,2024-04-15,news,miracle weightloss drug could reduced health disparity instead worse los angeles time miracle weightloss drug could reduced health disparity instead worse los angeles time,24
news_98,‘Ozempic Diet’? Foods to Eat and Avoid on a GLP-1 Obesity Drug - WebMD. ‘Ozempic Diet’? Foods to Eat and Avoid on a GLP-1 Obesity Drug WebMD,2024-07-09,news,ozempic diet food eat avoid glp obesity drug webmd ozempic diet food eat avoid glp obesity drug webmd,18
news_99,New Year Goals: Will Weight-Loss Drugs Work for You? - Lee Health. New Year Goals: Will Weight-Loss Drugs Work for You? Lee Health,2024-01-08,news,new year goal weightloss drug work lee health new year goal weightloss drug work lee health,16
news_100,What doctors should know about popular weight-loss drugs - AAMC. What doctors should know about popular weight-loss drugs AAMC,2024-01-25,news,doctor know popular weightloss drug aamc doctor know popular weightloss drug aamc,12
news_101,How Wegovy Made Losing Weight After 50 Easy - GoodRx. How Wegovy Made Losing Weight After 50 Easy GoodRx,2024-03-13,news,wegovy made losing weight easy goodrx wegovy made losing weight easy goodrx,12
news_102,"What the results of Wegovy’s longest clinical trial yet show about weight loss, side effects and heart protection - CNN. What the results of Wegovy’s longest clinical trial yet show about weight loss, side effects and heart protection CNN",2024-05-13,news,result wegovys longest clinical trial yet show weight loss side effect heart protection cnn result wegovys longest clinical trial yet show weight loss side effect heart protection cnn,28
news_103,Wegovy: what to know about the weight-loss injection - British Heart Foundation. Wegovy: what to know about the weight-loss injection British Heart Foundation,2024-01-08,news,wegovy know weightloss injection british heart foundation wegovy know weightloss injection british heart foundation,14
news_104,Why Your Cardiologist May Prescribe Semaglutide (Wegovy) - Yale Medicine. Why Your Cardiologist May Prescribe Semaglutide (Wegovy) Yale Medicine,2024-04-02,news,cardiologist may prescribe semaglutide wegovy yale medicine cardiologist may prescribe semaglutide wegovy yale medicine,14
